Node,PageRank,Degree,NORMALIZE,,,,,,,,,,
155,0.001258948,227,6.010353913,,,,,,227,,,,
156,1.26E-04,226,5.982653817,,,,,,226,,,,
157,7.45E-05,225,5.954953721,,,,,,225,,,,
158,9.29E-06,223,5.899553528,,,,,,223,,,,
159,1.87E-05,223,5.899553528,,,,,,223,,,,
160,4.26E-05,221,5.844153336,,,,,,221,,,,
161,9.66E-06,221,5.844153336,,,,,,221,,,,
162,1.05E-05,220,5.816453239,,,,,,220,,,,
163,1.08E-05,219,5.788753143,,,,,,219,,,,
164,1.51E-04,219,5.788753143,,,,,,219,,,,
165,3.05E-04,219,5.788753143,,,,,,219,,,,
166,1.28E-04,218,5.761053047,,,,,,218,,,,
167,1.06E-05,218,5.761053047,,,,,,218,,,,
168,1.94E-04,217,5.733352951,,,,,,217,,,,
169,6.81E-05,217,5.733352951,,,,,,217,,,,
170,6.11E-06,217,5.733352951,,,,,,217,,,,
171,2.29E-04,216,5.705652854,,,,,,216,,,,
172,3.39E-04,215,5.677952758,,,,,,215,,,,
173,1.69E-04,214,5.650252662,,,,,,214,,,,
174,8.91E-05,214,5.650252662,,,,,,214,,,,
175,7.81E-04,213,5.622552566,,,,,,213,,,,
176,1.70E-05,212,5.594852469,,,,,,212,,,,
177,1.35E-04,212,5.594852469,,,,,,212,,,,
178,5.34E-05,212,5.594852469,,,,,,212,,,,
179,1.02E-05,211,5.567152373,,,,,,211,,,,
180,2.57E-04,210,5.539452277,,,,,,210,,,,
181,1.02E-05,209,5.511752181,,,,,,209,,,,
182,1.32E-05,207,5.456351988,,,,,,207,,,,
183,1.93E-04,207,5.456351988,,,,,,207,,,,
184,6.92E-04,207,5.456351988,,,,,,207,,,,
185,1.39E-04,207,5.456351988,,,,,,207,,,,
186,3.65E-04,206,5.428651892,,,,,,206,,,,
187,8.42E-05,205,5.400951796,,,,,,205,,,,
188,7.62E-04,205,5.400951796,,,,,,205,,,,
189,1.25E-05,204,5.373251699,,,,,,204,,,,
190,5.95E-06,203,5.345551603,,,,,,203,,,,
191,1.60E-05,203,5.345551603,,,,,,203,,,,
192,3.55E-04,201,5.290151411,,,,,,201,,,,
193,1.61E-04,200,5.262451314,,,,,,200,,,,
194,2.74E-04,198,5.207051122,,,,,,198,,,,
195,0.002126775,197,5.179351026,,,,,,197,,,,
196,5.92E-05,192,5.040850544,,,,,,192,,,,
197,1.42E-04,191,5.013150448,,,,,,191,,,,
198,7.82E-05,190,4.985450352,,,,,,190,,,,
199,1.03E-05,190,4.985450352,,,,,,190,,,,
200,6.68E-04,190,4.985450352,,,,,,190,,,,
201,5.95E-06,190,4.985450352,,,,,,190,,,,
202,1.06E-05,187,4.902350063,,,,,,187,,,,
203,8.17E-05,186,4.874649967,,,,,,186,,,,
204,1.76E-05,186,4.874649967,,,,,,186,,,,
205,2.08E-04,185,4.846949871,,,,,,185,,,,
206,9.84E-05,184,4.819249775,,,,,,184,,,,
207,1.16E-04,184,4.819249775,,,,,,184,,,,
208,1.03E-05,183,4.791549678,,,,,,183,,,,
209,5.95E-06,181,4.736149486,,,,,,181,,,,
210,5.95E-06,181,4.736149486,,,,,,181,,,,
211,5.95E-06,181,4.736149486,,,,,,181,,,,
212,4.59E-05,181,4.736149486,,,,,,181,,,,
213,0.001035502,181,4.736149486,,,,,,181,,,,
214,7.71E-06,181,4.736149486,,,,,,181,,,,
215,4.67E-04,180,4.70844939,,,,,,180,,,,
216,5.95E-06,180,4.70844939,,,,,,180,,,,
217,5.15E-05,180,4.70844939,,,,,,180,,,,
218,9.79E-05,178,4.653049197,,,,,,178,,,,
219,7.30E-05,178,4.653049197,,,,,,178,,,,
220,1.67E-05,178,4.653049197,,,,,,178,,,,
221,1.40E-04,178,4.653049197,,,,,,178,,,,
222,5.95E-06,178,4.653049197,,,,,,178,,,,
223,7.07E-05,177,4.625349101,,,,,,177,,,,
224,1.59E-04,176,4.597649005,,,,,,176,,,,
225,7.63E-04,175,4.569948908,,,,,,175,,,,
226,4.65E-05,175,4.569948908,,,,,,175,,,,
227,7.96E-05,174,4.542248812,,,,,,174,,,,
228,2.25E-04,174,4.542248812,,,,,,174,,,,
229,2.21E-04,174,4.542248812,,,,,,174,,,,
230,8.38E-05,174,4.542248812,,,,,,174,,,,
231,1.86E-05,173,4.514548716,,,,,,173,,,,
232,7.57E-04,173,4.514548716,,,,,,173,,,,
233,4.25E-04,172,4.48684862,,,,,,172,,,,
234,2.41E-04,172,4.48684862,,,,,,172,,,,
235,1.95E-04,172,4.48684862,,,,,,172,,,,
236,4.12E-05,172,4.48684862,,,,,,172,,,,
237,2.02E-05,172,4.48684862,,,,,,172,,,,
238,1.04E-05,171,4.459148523,,,,,,171,,,,
239,1.81E-04,171,4.459148523,,,,,,171,,,,
240,3.45E-04,170,4.431448427,,,,,,170,,,,
241,7.32E-04,170,4.431448427,,,,,,170,,,,
242,4.13E-05,169,4.403748331,,,,,,169,,,,
243,3.92E-04,169,4.403748331,,,,,,169,,,,
244,2.32E-04,168,4.376048235,,,,,,168,,,,
245,2.33E-04,168,4.376048235,,,,,,168,,,,
246,7.68E-05,168,4.376048235,,,,,,168,,,,
247,5.95E-06,168,4.376048235,,,,,,168,,,,
248,5.95E-06,168,4.376048235,,,,,,168,,,,
249,2.99E-05,167,4.348348138,,,,,,167,,,,
250,2.91E-04,167,4.348348138,,,,,,167,,,,
251,1.19E-04,167,4.348348138,,,,,,167,,,,
252,1.66E-04,167,4.348348138,,,,,,167,,,,
253,1.06E-05,166,4.320648042,,,,,,166,,,,
254,7.77E-05,166,4.320648042,,,,,,166,,,,
255,4.83E-04,165,4.292947946,,,,,,165,,,,
256,5.95E-06,165,4.292947946,,,,,,165,,,,
257,1.42E-05,165,4.292947946,,,,,,165,,,,
258,5.95E-06,164,4.26524785,,,,,,164,,,,
259,7.71E-06,164,4.26524785,,,,,,164,,,,
260,6.90E-05,163,4.237547753,,,,,,163,,,,
261,2.38E-04,163,4.237547753,,,,,,163,,,,
262,5.95E-06,163,4.237547753,,,,,,163,,,,
263,2.25E-04,163,4.237547753,,,,,,163,,,,
264,2.93E-04,162,4.209847657,,,,,,162,,,,
265,4.74E-04,162,4.209847657,,,,,,162,,,,
266,5.95E-06,162,4.209847657,,,,,,162,,,,
267,1.68E-04,162,4.209847657,,,,,,162,,,,
268,5.95E-06,162,4.209847657,,,,,,162,,,,
269,1.71E-04,161,4.182147561,,,,,,161,,,,
270,1.31E-05,160,4.154447465,,,,,,160,,,,
271,1.99E-04,160,4.154447465,,,,,,160,,,,
272,1.50E-05,160,4.154447465,,,,,,160,,,,
273,0.003263917,159,4.126747368,,,,,,159,,,,
274,6.41E-04,159,4.126747368,,,,,,159,,,,
275,7.50E-06,158,4.099047272,,,,,,158,,,,
276,1.90E-05,158,4.099047272,,,,,,158,,,,
277,3.42E-04,158,4.099047272,,,,,,158,,,,
278,5.95E-06,158,4.099047272,,,,,,158,,,,
279,1.62E-04,157,4.071347176,,,,,,157,,,,
280,1.77E-04,157,4.071347176,,,,,,157,,,,
281,1.27E-04,157,4.071347176,,,,,,157,,,,
282,2.18E-05,157,4.071347176,,,,,,157,,,,
283,7.52E-06,156,4.04364708,,,,,,156,,,,
284,2.50E-04,156,4.04364708,,,,,,156,,,,
285,5.95E-06,155,4.015946983,,,,,,155,,,,
286,0.001708993,155,4.015946983,,,,,,155,,,,
287,1.65E-04,155,4.015946983,,,,,,155,,,,
288,3.93E-05,151,3.905146598,,,,,,151,,,,
289,3.67E-05,151,3.905146598,,,,,,151,,,,
290,1.25E-04,150,3.877446502,,,,,,150,,,,
291,8.70E-05,150,3.877446502,,,,,,150,,,,
292,0.001538151,149,3.849746406,,,,,,149,,,,
293,2.30E-04,149,3.849746406,,,,,,149,,,,
294,5.95E-06,149,3.849746406,,,,,,149,,,,
295,9.15E-05,149,3.849746406,,,,,,149,,,,
296,1.06E-04,148,3.82204631,,,,,,148,,,,
297,2.72E-05,147,3.794346213,,,,,,147,,,,
298,5.95E-06,147,3.794346213,,,,,,147,,,,
299,4.40E-04,147,3.794346213,,,,,,147,,,,
300,3.96E-04,147,3.794346213,,,,,,147,,,,
301,6.30E-04,147,3.794346213,,,,,,147,,,,
302,2.11E-05,147,3.794346213,,,,,,147,,,,
303,5.95E-06,147,3.794346213,,,,,,147,,,,
304,5.95E-06,147,3.794346213,,,,,,147,,,,
305,4.93E-05,146,3.766646117,,,,,,146,,,,
306,4.67E-05,146,3.766646117,,,,,,146,,,,
307,1.07E-04,146,3.766646117,,,,,,146,,,,
308,9.23E-04,146,3.766646117,,,,,,146,,,,
309,9.67E-05,145,3.738946021,,,,,,145,,,,
310,5.95E-06,145,3.738946021,,,,,,145,,,,
311,7.71E-06,145,3.738946021,,,,,,145,,,,
312,1.13E-04,145,3.738946021,,,,,,145,,,,
313,1.57E-04,144,3.711245925,,,,,,144,,,,
314,6.17E-04,144,3.711245925,,,,,,144,,,,
315,1.83E-04,144,3.711245925,,,,,,144,,,,
316,4.25E-04,144,3.711245925,,,,,,144,,,,
317,1.98E-05,144,3.711245925,,,,,,144,,,,
318,8.59E-05,143,3.683545828,,,,,,143,,,,
319,2.51E-04,143,3.683545828,,,,,,143,,,,
320,1.03E-04,143,3.683545828,,,,,,143,,,,
321,1.29E-05,143,3.683545828,,,,,,143,,,,
322,6.81E-05,142,3.655845732,,,,,,142,,,,
323,1.77E-05,142,3.655845732,,,,,,142,,,,
324,8.01E-05,142,3.655845732,,,,,,142,,,,
325,5.95E-06,141,3.628145636,,,,,,141,,,,
326,3.27E-04,141,3.628145636,,,,,,141,,,,
327,1.64E-05,141,3.628145636,,,,,,141,,,,
328,5.95E-06,141,3.628145636,,,,,,141,,,,
329,3.65E-05,140,3.60044554,,,,,,140,,,,
330,2.17E-05,140,3.60044554,,,,,,140,,,,
331,7.20E-05,140,3.60044554,,,,,,140,,,,
332,5.95E-06,139,3.572745444,,,,,,139,,,,
333,9.61E-06,139,3.572745444,,,,,,139,,,,
334,5.95E-06,139,3.572745444,,,,,,139,,,,
335,2.71E-04,139,3.572745444,,,,,,139,,,,
336,3.23E-04,138,3.545045347,,,,,,138,,,,
337,5.95E-06,138,3.545045347,,,,,,138,,,,
338,7.32E-05,138,3.545045347,,,,,,138,,,,
339,4.61E-05,138,3.545045347,,,,,,138,,,,
340,1.76E-04,138,3.545045347,,,,,,138,,,,
341,5.31E-05,138,3.545045347,,,,,,138,,,,
342,8.50E-04,137,3.517345251,,,,,,137,,,,
343,0.001137702,137,3.517345251,,,,,,137,,,,
344,2.10E-04,137,3.517345251,,,,,,137,,,,
345,2.48E-04,137,3.517345251,,,,,,137,,,,
346,8.88E-05,137,3.517345251,,,,,,137,,,,
347,8.63E-05,137,3.517345251,,,,,,137,,,,
348,1.97E-05,137,3.517345251,,,,,,137,,,,
349,5.78E-05,137,3.517345251,,,,,,137,,,,
350,3.49E-05,136,3.489645155,,,,,,136,,,,
351,5.95E-06,136,3.489645155,,,,,,136,,,,
352,5.95E-06,136,3.489645155,,,,,,136,,,,
353,0.001479363,136,3.489645155,,,,,,136,,,,
354,2.05E-04,136,3.489645155,,,,,,136,,,,
355,3.44E-04,135,3.461945059,,,,,,135,,,,
356,5.95E-06,135,3.461945059,,,,,,135,,,,
357,2.00E-04,135,3.461945059,,,,,,135,,,,
358,1.02E-04,135,3.461945059,,,,,,135,,,,
359,7.78E-06,135,3.461945059,,,,,,135,,,,
360,5.89E-04,134,3.434244962,,,,,,134,,,,
361,5.95E-06,134,3.434244962,,,,,,134,,,,
362,4.83E-05,134,3.434244962,,,,,,134,,,,
363,1.46E-05,133,3.406544866,,,,,,133,,,,
364,1.33E-04,133,3.406544866,,,,,,133,,,,
365,8.73E-06,133,3.406544866,,,,,,133,,,,
366,1.02E-05,133,3.406544866,,,,,,133,,,,
367,4.75E-04,133,3.406544866,,,,,,133,,,,
368,2.33E-04,133,3.406544866,,,,,,133,,,,
369,1.10E-05,132,3.37884477,,,,,,132,,,,
370,0.002370356,132,3.37884477,,,,,,132,,,,
371,3.52E-05,132,3.37884477,,,,,,132,,,,
372,7.49E-05,131,3.351144674,,,,,,131,,,,
373,4.26E-05,131,3.351144674,,,,,,131,,,,
374,5.72E-05,130,3.323444577,,,,,,130,,,,
375,5.64E-05,130,3.323444577,,,,,,130,,,,
376,3.78E-05,130,3.323444577,,,,,,130,,,,
377,6.09E-05,130,3.323444577,,,,,,130,,,,
378,3.90E-04,129,3.295744481,,,,,,129,,,,
379,7.54E-05,129,3.295744481,,,,,,129,,,,
380,8.04E-05,128,3.268044385,,,,,,128,,,,
381,8.93E-05,127,3.240344289,,,,,,127,,,,
382,1.87E-04,127,3.240344289,,,,,,127,,,,
383,6.08E-04,127,3.240344289,,,,,,127,,,,
384,7.26E-05,127,3.240344289,,,,,,127,,,,
385,4.07E-04,127,3.240344289,,,,,,127,,,,
386,3.00E-04,126,3.212644192,,,,,,126,,,,
387,1.50E-05,126,3.212644192,,,,,,126,,,,
388,2.53E-04,126,3.212644192,,,,,,126,,,,
389,3.44E-05,126,3.212644192,,,,,,126,,,,
390,2.11E-04,125,3.184944096,,,,,,125,,,,
391,2.96E-04,125,3.184944096,,,,,,125,,,,
392,9.34E-06,125,3.184944096,,,,,,125,,,,
393,2.68E-04,125,3.184944096,,,,,,125,,,,
394,5.95E-06,124,3.157244,,,,,,124,,,,
395,1.61E-05,124,3.157244,,,,,,124,,,,
396,2.42E-05,124,3.157244,,,,,,124,,,,
397,2.58E-05,124,3.157244,,,,,,124,,,,
398,2.09E-04,123,3.129543904,,,,,,123,,,,
399,6.93E-05,123,3.129543904,,,,,,123,,,,
400,4.69E-04,123,3.129543904,,,,,,123,,,,
401,1.11E-04,123,3.129543904,,,,,,123,,,,
402,3.86E-04,123,3.129543904,,,,,,123,,,,
403,4.75E-04,123,3.129543904,,,,,,123,,,,
404,3.24E-04,123,3.129543904,,,,,,123,,,,
405,3.22E-05,123,3.129543904,,,,,,123,,,,
406,2.99E-04,123,3.129543904,,,,,,123,,,,
407,3.08E-05,122,3.101843807,,,,,,122,,,,
408,1.32E-04,122,3.101843807,,,,,,122,,,,
409,2.52E-04,122,3.101843807,,,,,,122,,,,
410,5.95E-06,121,3.074143711,,,,,,121,,,,
411,7.74E-06,121,3.074143711,,,,,,121,,,,
412,5.95E-06,121,3.074143711,,,,,,121,,,,
413,5.27E-05,121,3.074143711,,,,,,121,,,,
414,5.95E-06,121,3.074143711,,,,,,121,,,,
415,2.77E-05,121,3.074143711,,,,,,121,,,,
416,0.001473683,121,3.074143711,,,,,,121,,,,
417,1.84E-04,121,3.074143711,,,,,,121,,,,
418,2.27E-04,120,3.046443615,,,,,,120,,,,
419,1.03E-04,120,3.046443615,,,,,,120,,,,
420,2.33E-04,120,3.046443615,,,,,,120,,,,
421,7.71E-06,120,3.046443615,,,,,,120,,,,
422,1.70E-05,119,3.018743519,,,,,,119,,,,
423,5.65E-04,119,3.018743519,,,,,,119,,,,
424,5.93E-05,119,3.018743519,,,,,,119,,,,
425,2.76E-04,119,3.018743519,,,,,,119,,,,
426,2.64E-04,119,3.018743519,,,,,,119,,,,
427,2.69E-05,119,3.018743519,,,,,,119,,,,
428,7.89E-06,119,3.018743519,,,,,,119,,,,
429,5.67E-05,119,3.018743519,,,,,,119,,,,
430,2.92E-04,119,3.018743519,,,,,,119,,,,
431,5.95E-06,118,2.991043422,,,,,,118,,,,
432,7.71E-06,118,2.991043422,,,,,,118,,,,
433,5.95E-06,118,2.991043422,,,,,,118,,,,
434,2.13E-05,118,2.991043422,,,,,,118,,,,
435,1.51E-05,117,2.963343326,,,,,,117,,,,
436,4.45E-05,117,2.963343326,,,,,,117,,,,
437,1.52E-05,117,2.963343326,,,,,,117,,,,
438,3.19E-04,116,2.93564323,,,,,,116,,,,
439,2.10E-05,116,2.93564323,,,,,,116,,,,
440,1.01E-04,116,2.93564323,,,,,,116,,,,
441,2.83E-04,116,2.93564323,,,,,,116,,,,
442,4.03E-04,115,2.907943134,,,,,,115,,,,
443,0.001047484,115,2.907943134,,,,,,115,,,,
444,0.001019169,115,2.907943134,,,,,,115,,,,
445,1.34E-05,115,2.907943134,,,,,,115,,,,
446,2.22E-04,115,2.907943134,,,,,,115,,,,
447,3.01E-05,115,2.907943134,,,,,,115,,,,
448,4.84E-04,114,2.880243037,,,,,,114,,,,
449,3.25E-04,114,2.880243037,,,,,,114,,,,
450,2.33E-04,114,2.880243037,,,,,,114,,,,
451,9.85E-05,114,2.880243037,,,,,,114,,,,
452,4.46E-04,114,2.880243037,,,,,,114,,,,
453,5.95E-06,114,2.880243037,,,,,,114,,,,
454,3.84E-04,113,2.852542941,,,,,,113,,,,
455,1.39E-04,113,2.852542941,,,,,,113,,,,
456,1.54E-04,113,2.852542941,,,,,,113,,,,
457,1.76E-04,113,2.852542941,,,,,,113,,,,
458,0.002987762,112,2.824842845,,,,,,112,,,,
459,4.64E-05,112,2.824842845,,,,,,112,,,,
460,5.95E-06,112,2.824842845,,,,,,112,,,,
461,9.84E-05,112,2.824842845,,,,,,112,,,,
462,2.92E-04,112,2.824842845,,,,,,112,,,,
463,4.19E-05,112,2.824842845,,,,,,112,,,,
464,5.81E-05,112,2.824842845,,,,,,112,,,,
465,1.36E-04,111,2.797142749,,,,,,111,,,,
466,1.33E-04,111,2.797142749,,,,,,111,,,,
467,7.71E-05,111,2.797142749,,,,,,111,,,,
468,1.25E-05,111,2.797142749,,,,,,111,,,,
469,1.19E-04,111,2.797142749,,,,,,111,,,,
470,3.55E-04,110,2.769442652,,,,,,110,,,,
471,4.76E-04,110,2.769442652,,,,,,110,,,,
472,1.79E-04,110,2.769442652,,,,,,110,,,,
473,3.69E-04,110,2.769442652,,,,,,110,,,,
474,3.83E-05,110,2.769442652,,,,,,110,,,,
475,1.10E-04,109,2.741742556,,,,,,109,,,,
476,1.87E-05,109,2.741742556,,,,,,109,,,,
477,2.64E-04,109,2.741742556,,,,,,109,,,,
478,0.001213589,109,2.741742556,,,,,,109,,,,
479,2.47E-04,109,2.741742556,,,,,,109,,,,
480,4.12E-04,109,2.741742556,,,,,,109,,,,
481,4.78E-04,108,2.71404246,,,,,,108,,,,
482,3.45E-05,108,2.71404246,,,,,,108,,,,
483,2.48E-05,108,2.71404246,,,,,,108,,,,
484,1.26E-04,108,2.71404246,,,,,,108,,,,
485,1.22E-04,108,2.71404246,,,,,,108,,,,
486,8.55E-05,108,2.71404246,,,,,,108,,,,
487,3.45E-04,108,2.71404246,,,,,,108,,,,
488,2.64E-04,108,2.71404246,,,,,,108,,,,
489,2.66E-04,107,2.686342364,,,,,,107,,,,
490,3.35E-04,107,2.686342364,,,,,,107,,,,
491,1.05E-04,107,2.686342364,,,,,,107,,,,
492,2.74E-04,107,2.686342364,,,,,,107,,,,
493,1.63E-04,107,2.686342364,,,,,,107,,,,
494,1.41E-05,107,2.686342364,,,,,,107,,,,
495,6.84E-05,106,2.658642267,,,,,,106,,,,
496,2.88E-05,106,2.658642267,,,,,,106,,,,
497,1.39E-04,106,2.658642267,,,,,,106,,,,
